2017-10-02 21:47:23	remco	http://localhost:8888/bannertool/canvas/	Error: 	Exception: Method Pagefile::count does not exist or is not callable in this context (in /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php line 519)  #0 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(386): ProcessWire\Wire->___callUnknown('count', Array) #1 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___callUnknown', Array) #2 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pagefile), 'callUnknown', Array) #3 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(445): ProcessWire\Wire->__call('callUnknown', Array) #4 /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php(20): ProcessWire\Wire->__call('count', Array) #5 /Applications/MAMP/htdocs/bannertool/wire/core/TemplateFile.php(268): require('/Applications/M...') #6 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #7 /Applications/MAM
2018-01-24 16:09:34	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'itemSelector' (T_STRING), expecting ',' or ';' (line 9 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-01-26 16:51:53	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-01-26 16:51:59	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-01-30 19:37:53	remco	http://localhost:8888/bannertool/new10/q2/see/	Compile Error: 	Cannot use isset() on the result of an expression (you can use "null !== expression" instead) (line 9 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-01-30 19:38:53	remco	http://localhost:8888/bannertool/new10/q2/see/	Compile Error: 	Cannot use isset() on the result of an expression (you can use "null !== expression" instead) (line 12 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/fase-page.php)
2018-02-01 12:04:29	remco	http://localhost:8888/bannertool/new10/q2/see/clear/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 12:04:29	remco	http://localhost:8888/bannertool/new10/q2/see/simple/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 12:04:29	remco	http://localhost:8888/bannertool/new10/q2/see/fast/	Parse Error: 	syntax error, unexpected '}', expecting ',' or ';' (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 12:39:07	remco	http://localhost:8888/bannertool/new10/q2/see/clear/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 45 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 12:39:07	remco	http://localhost:8888/bannertool/new10/q2/see/simple/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 45 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 12:39:07	remco	http://localhost:8888/bannertool/new10/q2/see/fast/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 45 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 13:46:00	remco	http://localhost:8888/bannertool/new10/q2/think/clear/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 23 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 13:46:00	remco	http://localhost:8888/bannertool/new10/q2/think/simple/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 23 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2018-02-01 13:46:00	remco	http://localhost:8888/bannertool/new10/q2/think/fast/	Parse Error: 	syntax error, unexpected 'if' (T_IF), expecting ',' or ';' (line 23 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
